EFO Accession,CLO Accession,,Step,Type
EFO_0002351,CLO_0009102,,EFO-CLS-CLO,Valid
EFO_0006593,CLO_0004200,,EFO-CLS-CLO,Valid
EFO_0002213,CLO_0006984,,EFO-CLS-CLO,Valid
EFO_0003125,CLO_0008119,,EFO-CLS-CLO,Valid
EFO_0006466,CLO_0008374,,EFO-CLS-CLO,Valid
EFO_0006468,CLO_0008377,,EFO-CLS-CLO,Valid
EFO_0002307,CLO_0008121,,EFO-CLS-CLO,Valid
EFO_0006467,CLO_0008376,,EFO-CLS-CLO,Valid
EFO_0006696,CLO_0008123,,EFO-CLS-CLO,Valid
EFO_0006470,CLO_0008379,,EFO-CLS-CLO,Valid
EFO_0002079,CLO_0009041,,EFO-CLS-CLO,Valid
EFO_0006697,CLO_0008125,,EFO-CLS-CLO,Valid
EFO_0002332,CLO_0009040,,EFO-CLS-CLO,Valid
EFO_0002246,CLO_0007939,,EFO-CLS-CLO,Valid
EFO_0006698,CLO_0008126,,EFO-CLS-CLO,Valid
EFO_0002221,CLO_0007118,,EFO-CLS-CLO,Valid
EFO_0006737,CLO_0050112,,EFO-CLS-CLO,Valid
EFO_0006628,CLO_0007130,,EFO-CLS-CLO,Valid
EFO_0006627,CLO_0007129,,EFO-CLS-CLO,Valid
EFO_0006626,CLO_0007128,,EFO-CLS-CLO,Valid
EFO_0002321,CLO_0008870,,EFO-CLS-CLO,Valid
EFO_0001263,CLO_0009728,,EFO-CLS-CLO,Valid
EFO_0002319,CLO_0008828,,EFO-CLS-CLO,Valid
EFO_0006456,CLO_0007878,,EFO-CLS-CLO,Valid
EFO_0002343,CLO_0009094,,EFO-CLS-CLO,Valid
EFO_0005712,CLO_0008877,,EFO-CLS-CLO,Valid
EFO_0002345,CLO_0009096,,EFO-CLS-CLO,Valid
EFO_0002244,CLO_0007937,,EFO-CLS-CLO,Valid
EFO_0002045,CLO_0001889,,EFO-CLS-CLO,Valid
EFO_0006623,CLO_0050109,,EFO-CLS-CLO,Valid
EFO_0002851,CLO_0050047,,EFO-CLS-CLO,Valid
EFO_0002379,CLO_0009017,,EFO-CLS-CLO,Valid
EFO_0001236,CLO_0009034,,EFO-CLS-CLO,Valid
EFO_0002959,CLO_0008208,,EFO-CLS-CLO,Valid
EFO_0002333,CLO_0009044,,EFO-CLS-CLO,Valid
EFO_0004922,CLO_0028797,,EFO-CLS-CLO,Valid
EFO_0006488,CLO_0009045,,EFO-CLS-CLO,Valid
EFO_0001247,CLO_0009251,,EFO-CLS-CLO,Valid
EFO_0002153,CLO_0002197,,EFO-CLS-CLO,Valid
EFO_0006591,CLO_0004148,,EFO-CLS-CLO,Valid
EFO_0002150,CLO_0002177,,EFO-CLS-CLO,Valid
EFO_0002390,CLO_0009613,,EFO-CLS-CLO,Valid
EFO_0006498,CLO_0009456,,EFO-CLS-CLO,Valid
EFO_0006749,CLO_0008972,,EFO-CLS-CLO,Valid
EFO_0002154,CLO_0002198,,EFO-CLS-CLO,Valid
EFO_0002110,CLO_0001722,,EFO-CLS-CLO,Valid
EFO_0004990,CLO_0006987,,EFO-CLS-CLO,Valid
EFO_0002137,CLO_0002547,,EFO-CLS-CLO,Valid
EFO_0002710,CLO_0002548,,EFO-CLS-CLO,Valid
EFO_0006592,CLO_0004157,,EFO-CLS-CLO,Valid
EFO_0001209,CLO_0007634,,EFO-CLS-CLO,Valid
EFO_0003043,CLO_0007986,,EFO-CLS-CLO,Valid
EFO_0002175,CLO_0002888,,EFO-CLS-CLO,Valid
EFO_0002346,CLO_0009097,,EFO-CLS-CLO,Valid
EFO_0005369,CLO_0003561,,EFO-CLS-CLO,Valid
EFO_0006276,CLO_0027780,,EFO-CLS-CLO,Valid
EFO_0002818,CLO_0002173,,EFO-CLS-CLO,Valid
